route,stop_distance_km,day_of_week,time_of_day,traffic_condition,weather,special_event,temperature_celsius,delay_minutes,arrival_status
Al Hamra Link,7.4,Tuesday,14.1,Medium,Rainy,None,41.3,19.4,Late
Campus Loop,3.72,Saturday,13.5,High,Clear,None,28.9,16.8,Late
RAK City Express,7.13,Tuesday,18.0,High,Clear,None,27.2,10.5,Late
Grove Village Route,6.31,Thursday,10.7,Low,Clear,None,33.8,4.4,On-Time
RAK City Express,9.4,Thursday,15.1,Medium,Clear,University Exam,29.7,9.6,Late
Campus Loop,1.44,Tuesday,21.6,Low,Rainy,None,31.7,14.1,Late
Al Hamra Link,6.81,Monday,21.7,Low,Clear,None,24.5,3.2,On-Time
Campus Loop,1.27,Monday,19.8,Medium,Cloudy,None,30.7,6.4,Late
RAK City Express,5.19,Saturday,17.5,High,Cloudy,None,38.6,12.2,Late
Campus Loop,2.68,Sunday,21.4,Low,Rainy,Career Fair,28.6,19.9,Late
Grove Village Route,4.99,Thursday,11.3,Low,Clear,None,25.1,2.4,On-Time
Grove Village Route,5.35,Sunday,19.1,Low,Clear,None,32.0,4.8,On-Time
Campus Loop,0.89,Saturday,17.3,High,Clear,None,30.5,12.4,Late
Grove Village Route,2.35,Sunday,19.1,Medium,Clear,None,27.7,5.7,Late
RAK City Express,12.32,Tuesday,11.2,Medium,Clear,None,28.7,7.6,Late
RAK City Express,14.99,Tuesday,8.6,High,Foggy,None,31.5,31.2,Late
Campus Loop,1.38,Saturday,16.1,Medium,Cloudy,University Exam,40.5,11.3,Late
Campus Loop,2.76,Wednesday,21.5,Low,Clear,None,27.3,2.6,On-Time
Al Hamra Link,6.55,Sunday,9.5,High,Dusty,None,29.9,23.6,Late
Campus Loop,1.13,Monday,16.6,Low,Clear,None,30.9,2.0,On-Time
Campus Loop,3.28,Sunday,19.4,Medium,Clear,Sports Match,36.7,11.3,Late
Grove Village Route,2.6,Thursday,21.1,Low,Dusty,Career Fair,34.9,12.3,Late
Grove Village Route,3.84,Saturday,15.2,Medium,Clear,None,34.9,5.2,Late
RAK City Express,8.93,Saturday,18.0,Medium,Dusty,None,41.4,13.4,Late
Campus Loop,1.91,Saturday,12.1,Medium,Clear,None,31.5,7.2,Late
Al Hamra Link,8.03,Saturday,13.9,High,Clear,None,34.8,13.7,Late
Campus Loop,1.16,Wednesday,9.4,Medium,Clear,University Exam,27.5,17.0,Late
Campus Loop,1.13,Saturday,19.7,Medium,Clear,None,26.0,6.2,Late
Al Hamra Link,4.99,Thursday,10.3,Medium,Dusty,None,36.6,10.3,Late
Campus Loop,3.0,Saturday,9.4,Medium,Clear,None,36.3,7.2,Late
Campus Loop,3.92,Saturday,19.8,Low,Clear,None,26.4,1.3,On-Time
Grove Village Route,6.13,Wednesday,8.2,High,Rainy,None,28.2,23.6,Late
RAK City Express,12.39,Friday,9.1,High,Foggy,None,33.3,25.0,Late
Campus Loop,2.39,Friday,19.0,Medium,Dusty,None,36.0,8.7,Late
Al Hamra Link,4.28,Tuesday,10.0,Medium,Clear,None,29.0,4.4,On-Time
Campus Loop,3.83,Monday,15.7,Medium,Clear,None,28.0,5.6,Late
Al Hamra Link,8.05,Friday,12.2,Medium,Cloudy,None,29.8,7.7,Late
Campus Loop,1.99,Monday,21.9,Low,Dusty,None,38.0,6.8,Late
Grove Village Route,6.66,Tuesday,22.0,Medium,Clear,None,25.7,8.1,Late
RAK City Express,10.5,Friday,19.0,Medium,Clear,Career Fair,36.2,16.8,Late
Grove Village Route,4.04,Monday,10.6,Medium,Dusty,Open Day,28.1,16.8,Late
Grove Village Route,5.31,Friday,19.2,Medium,Clear,None,33.6,6.5,Late
RAK City Express,13.99,Friday,9.8,High,Cloudy,None,33.8,23.1,Late
Grove Village Route,6.9,Sunday,21.1,Low,Clear,None,35.0,3.9,On-Time
RAK City Express,7.74,Saturday,7.8,Medium,Clear,None,24.6,7.2,Late
Al Hamra Link,4.62,Wednesday,21.8,Low,Rainy,University Exam,34.3,17.7,Late
Campus Loop,3.41,Monday,15.9,Low,Foggy,Career Fair,26.2,21.5,Late
Grove Village Route,6.74,Wednesday,8.7,High,Cloudy,None,34.9,20.7,Late
Campus Loop,0.52,Wednesday,11.4,Medium,Clear,None,24.9,5.8,Late
Campus Loop,2.1,Saturday,9.5,High,Cloudy,None,32.4,11.6,Late
RAK City Express,9.32,Sunday,16.1,Low,Clear,Career Fair,27.5,6.5,Late
Al Hamra Link,7.28,Sunday,20.3,Low,Clear,None,31.3,4.2,On-Time
Grove Village Route,3.43,Tuesday,12.0,Low,Dusty,None,26.3,6.2,Late
Campus Loop,2.36,Monday,9.4,High,Clear,None,32.5,19.2,Late
Al Hamra Link,6.45,Friday,21.2,Low,Foggy,None,40.0,8.8,Late
RAK City Express,7.26,Saturday,15.5,Low,Clear,None,35.0,4.0,On-Time
Grove Village Route,6.31,Sunday,16.6,Low,Rainy,None,32.2,8.0,Late
Grove Village Route,6.44,Tuesday,9.7,High,Cloudy,None,32.1,12.0,Late
Grove Village Route,5.05,Monday,19.9,Low,Cloudy,None,29.7,4.1,On-Time
Grove Village Route,4.98,Friday,19.1,Low,Clear,None,38.1,3.9,On-Time
Grove Village Route,2.55,Tuesday,11.4,Medium,Clear,None,38.3,3.8,On-Time
RAK City Express,8.77,Tuesday,7.0,Medium,Clear,None,36.4,10.8,Late
Grove Village Route,3.52,Tuesday,14.0,Medium,Dusty,University Exam,27.9,15.7,Late
RAK City Express,13.69,Friday,15.9,Medium,Cloudy,None,34.5,5.7,Late
Al Hamra Link,8.98,Thursday,18.8,High,Clear,None,27.1,13.5,Late
Al Hamra Link,6.75,Tuesday,18.8,High,Clear,None,25.0,18.1,Late
Grove Village Route,6.48,Sunday,11.1,Low,Clear,None,32.0,1.8,On-Time
Al Hamra Link,8.95,Monday,19.7,Medium,Cloudy,None,32.4,8.1,Late
Campus Loop,1.41,Tuesday,20.3,Low,Foggy,None,24.3,9.3,Late
Campus Loop,1.25,Sunday,11.2,Medium,Clear,None,34.3,5.1,Late
RAK City Express,7.66,Tuesday,15.6,Medium,Clear,None,37.6,7.4,Late
Grove Village Route,2.45,Thursday,13.5,High,Clear,None,38.0,15.1,Late
Campus Loop,1.3,Wednesday,12.3,Low,Foggy,None,25.4,8.6,Late
Grove Village Route,4.12,Saturday,19.3,Medium,Clear,None,25.4,5.6,Late
Grove Village Route,6.37,Friday,10.5,Low,Clear,None,26.3,3.3,On-Time
RAK City Express,7.96,Saturday,12.8,Medium,Clear,None,32.8,8.3,Late
Grove Village Route,4.1,Monday,18.0,High,Clear,None,41.2,14.8,Late
Grove Village Route,3.8,Tuesday,17.1,High,Clear,None,26.6,11.8,Late
Grove Village Route,2.67,Sunday,7.8,Medium,Clear,None,25.0,7.7,Late
Al Hamra Link,4.8,Thursday,12.3,Medium,Clear,None,32.3,5.0,On-Time
Grove Village Route,6.28,Sunday,10.0,Low,Clear,None,30.3,5.4,Late
Grove Village Route,4.5,Tuesday,18.0,High,Clear,None,25.9,10.2,Late
Campus Loop,2.24,Tuesday,20.0,Medium,Clear,None,25.1,3.1,On-Time
Grove Village Route,4.68,Monday,16.4,Low,Clear,None,27.5,2.5,On-Time
Campus Loop,2.69,Saturday,21.4,Low,Cloudy,None,37.0,2.8,On-Time
RAK City Express,12.54,Monday,11.4,Medium,Clear,None,38.6,6.1,Late
RAK City Express,10.51,Monday,10.7,Low,Clear,None,40.7,6.0,Late
Grove Village Route,3.12,Friday,9.5,Medium,Dusty,None,39.0,13.3,Late
Campus Loop,1.03,Wednesday,20.9,Medium,Cloudy,None,31.7,6.2,Late
Campus Loop,2.8,Sunday,18.5,High,Dusty,None,24.9,24.2,Late
Grove Village Route,3.16,Tuesday,16.1,Medium,Clear,None,40.1,2.0,On-Time
Al Hamra Link,8.76,Sunday,12.8,Medium,Clear,None,27.9,7.6,Late
Campus Loop,1.39,Sunday,21.9,Low,Clear,None,25.6,0.9,On-Time
Al Hamra Link,8.05,Saturday,7.9,Medium,Clear,None,32.6,6.5,Late
RAK City Express,11.87,Monday,20.1,Low,Clear,None,29.6,5.0,On-Time
Grove Village Route,2.09,Tuesday,20.6,Low,Clear,None,32.0,1.7,On-Time
Grove Village Route,3.63,Tuesday,16.7,Low,Clear,None,29.1,4.8,On-Time
Grove Village Route,3.93,Thursday,12.4,Medium,Foggy,None,40.5,19.8,Late
Grove Village Route,2.53,Tuesday,12.8,High,Cloudy,None,37.9,14.8,Late
Campus Loop,2.23,Monday,15.2,Low,Clear,None,41.8,0.8,On-Time
RAK City Express,14.82,Wednesday,17.6,High,Clear,None,30.7,17.7,Late
Campus Loop,2.99,Wednesday,11.5,Medium,Clear,None,29.5,5.8,Late
Al Hamra Link,4.78,Saturday,13.5,Medium,Clear,None,37.5,3.3,On-Time
Al Hamra Link,7.36,Wednesday,10.4,Medium,Clear,None,28.9,8.0,Late
Al Hamra Link,4.61,Monday,7.7,Medium,Clear,None,24.6,6.3,Late
RAK City Express,7.6,Saturday,17.1,High,Clear,None,30.5,18.3,Late
Al Hamra Link,8.0,Sunday,18.5,High,Cloudy,Career Fair,39.3,27.0,Late
Grove Village Route,6.07,Thursday,7.0,Low,Clear,None,30.4,4.2,On-Time
Grove Village Route,2.62,Monday,9.5,Medium,Foggy,None,27.7,17.7,Late
Grove Village Route,4.93,Thursday,21.2,Low,Clear,None,25.7,3.4,On-Time
Campus Loop,2.29,Tuesday,11.6,Medium,Dusty,Career Fair,24.4,15.0,Late
Campus Loop,3.05,Friday,18.9,Medium,Clear,Career Fair,32.7,17.6,Late
Grove Village Route,5.98,Saturday,20.8,Low,Clear,None,37.4,2.9,On-Time
Campus Loop,1.62,Monday,13.3,High,Clear,None,39.6,9.7,Late
RAK City Express,13.93,Saturday,18.9,High,Cloudy,None,25.5,16.0,Late
Al Hamra Link,8.56,Tuesday,12.1,Medium,Cloudy,None,34.4,4.0,On-Time
RAK City Express,13.47,Wednesday,18.7,High,Clear,None,36.2,20.9,Late
Grove Village Route,4.48,Saturday,13.4,Medium,Dusty,None,40.0,13.8,Late
Grove Village Route,5.42,Friday,21.5,Medium,Dusty,None,37.3,10.5,Late
RAK City Express,12.31,Friday,18.7,High,Clear,None,37.2,14.3,Late
Campus Loop,1.05,Friday,7.7,Medium,Clear,None,40.9,4.9,On-Time
RAK City Express,6.88,Saturday,20.2,Low,Clear,None,40.9,2.5,On-Time
Campus Loop,1.69,Monday,19.6,Medium,Cloudy,Career Fair,33.0,13.9,Late
RAK City Express,12.28,Friday,10.0,Low,Clear,None,26.0,3.6,On-Time
Al Hamra Link,9.94,Monday,11.1,Medium,Foggy,None,25.5,14.0,Late
Al Hamra Link,8.0,Monday,15.1,Medium,Clear,None,31.7,6.0,Late
RAK City Express,14.78,Saturday,16.3,Low,Clear,None,38.9,5.0,On-Time
Campus Loop,2.51,Thursday,7.8,Medium,Clear,None,38.3,2.6,On-Time
Al Hamra Link,7.81,Monday,17.0,High,Cloudy,University Exam,39.5,21.4,Late
Al Hamra Link,8.91,Friday,13.7,High,Rainy,None,30.9,24.5,Late
Al Hamra Link,5.89,Sunday,19.0,Medium,Clear,None,36.8,5.6,Late
Campus Loop,2.57,Monday,18.1,High,Clear,None,37.4,12.8,Late
Campus Loop,1.8,Sunday,14.2,Low,Clear,Career Fair,37.9,4.7,On-Time
Al Hamra Link,7.93,Thursday,19.4,Medium,Clear,None,39.8,8.4,Late
Al Hamra Link,4.54,Wednesday,10.3,Medium,Clear,None,39.8,5.7,Late
RAK City Express,9.87,Saturday,10.5,Low,Clear,None,27.3,4.7,On-Time
Al Hamra Link,4.11,Wednesday,11.1,Low,Cloudy,None,34.6,4.1,On-Time
Al Hamra Link,7.92,Friday,19.1,Medium,Clear,None,29.9,5.7,Late
Campus Loop,1.14,Friday,9.2,High,Cloudy,Career Fair,29.1,23.9,Late
RAK City Express,9.35,Friday,7.7,Medium,Clear,None,26.3,8.1,Late
Campus Loop,3.74,Thursday,18.1,Medium,Foggy,None,40.1,16.3,Late
Grove Village Route,5.05,Thursday,17.1,High,Clear,University Exam,39.5,19.9,Late
Campus Loop,2.7,Monday,9.0,High,Dusty,None,29.7,20.8,Late
Al Hamra Link,4.61,Tuesday,7.8,Low,Cloudy,None,30.1,2.3,On-Time
RAK City Express,13.61,Friday,7.5,Low,Clear,None,24.6,6.3,Late
RAK City Express,8.49,Wednesday,17.1,High,Clear,None,27.0,17.9,Late
Grove Village Route,5.59,Friday,16.2,Medium,Clear,None,34.1,4.2,On-Time
Grove Village Route,2.49,Wednesday,15.6,Medium,Clear,University Exam,41.0,13.8,Late
Campus Loop,0.8,Monday,11.3,Low,Cloudy,None,38.5,1.1,On-Time
Al Hamra Link,9.17,Wednesday,18.7,High,Clear,None,30.0,17.3,Late
Al Hamra Link,7.83,Thursday,8.1,High,Cloudy,None,28.8,13.6,Late
RAK City Express,11.09,Saturday,11.4,Medium,Clear,Open Day,29.8,15.0,Late
RAK City Express,10.26,Wednesday,9.7,High,Dusty,None,33.3,25.8,Late
Grove Village Route,4.3,Saturday,14.0,Medium,Clear,None,40.7,6.9,Late
Grove Village Route,5.1,Tuesday,17.2,High,Clear,None,28.8,15.1,Late
Campus Loop,0.69,Tuesday,13.4,Low,Clear,None,32.3,1.9,On-Time
Al Hamra Link,8.82,Sunday,16.7,Medium,Clear,None,28.1,7.1,Late
Al Hamra Link,6.53,Saturday,9.0,High,Foggy,None,41.9,19.4,Late
RAK City Express,12.88,Sunday,19.1,Medium,Cloudy,None,24.8,7.8,Late
RAK City Express,6.62,Wednesday,15.7,Medium,Clear,None,40.3,8.3,Late
Al Hamra Link,9.39,Thursday,21.8,Low,Clear,None,40.4,5.0,On-Time
Campus Loop,3.06,Friday,16.8,Medium,Clear,Career Fair,29.6,13.8,Late
Grove Village Route,4.29,Tuesday,9.1,High,Clear,None,41.9,16.3,Late
Campus Loop,0.93,Saturday,16.8,Medium,Clear,None,25.5,7.1,Late
Grove Village Route,3.79,Monday,17.5,High,Clear,None,28.6,11.3,Late
Al Hamra Link,6.66,Thursday,9.0,High,Cloudy,None,26.8,13.7,Late
Campus Loop,1.45,Thursday,18.3,High,Clear,None,38.4,15.5,Late
Campus Loop,0.51,Tuesday,21.6,Low,Cloudy,University Exam,37.0,7.3,Late
Grove Village Route,2.13,Thursday,13.1,Medium,Clear,None,40.8,6.7,Late
Grove Village Route,3.17,Wednesday,11.5,Medium,Dusty,None,41.3,10.3,Late
Grove Village Route,2.9,Tuesday,13.5,Medium,Clear,None,40.6,6.8,Late
Al Hamra Link,7.85,Saturday,20.6,Low,Cloudy,None,39.6,2.0,On-Time
Al Hamra Link,6.04,Friday,17.6,Medium,Clear,Career Fair,24.7,17.0,Late
Grove Village Route,4.81,Tuesday,18.6,High,Cloudy,None,30.8,19.4,Late
Al Hamra Link,5.88,Monday,20.6,Medium,Dusty,Sports Match,31.8,21.6,Late
Al Hamra Link,4.22,Monday,18.1,High,Dusty,Open Day,24.7,23.5,Late
Al Hamra Link,8.64,Tuesday,12.4,Low,Clear,None,30.3,5.2,Late
Grove Village Route,5.5,Sunday,20.0,Low,Cloudy,Sports Match,41.1,13.5,Late
Grove Village Route,4.55,Saturday,18.7,High,Clear,None,30.1,13.5,Late
Grove Village Route,4.85,Sunday,16.7,Medium,Clear,None,24.7,10.0,Late
Campus Loop,3.63,Sunday,16.4,Low,Clear,None,29.2,4.7,On-Time
Grove Village Route,6.09,Sunday,14.9,Medium,Foggy,None,24.6,15.6,Late
Campus Loop,0.58,Saturday,18.9,High,Clear,None,40.3,14.4,Late
Al Hamra Link,7.56,Tuesday,8.0,High,Clear,None,27.1,21.0,Late
Grove Village Route,4.26,Friday,20.1,Low,Cloudy,None,27.0,4.0,On-Time
Al Hamra Link,8.34,Monday,11.4,Medium,Dusty,Open Day,29.3,14.2,Late
Al Hamra Link,8.65,Tuesday,9.6,Medium,Cloudy,None,27.4,7.8,Late
Grove Village Route,5.89,Sunday,15.1,Low,Clear,None,33.7,3.8,On-Time
RAK City Express,5.24,Monday,21.0,Low,Dusty,None,35.9,7.4,Late
Grove Village Route,6.04,Thursday,15.8,Medium,Clear,None,30.0,6.6,Late
Al Hamra Link,9.07,Thursday,13.0,High,Clear,None,33.2,9.4,Late
Grove Village Route,5.67,Friday,15.7,Medium,Clear,None,32.7,6.1,Late
Grove Village Route,4.94,Thursday,20.6,Low,Cloudy,Open Day,33.4,13.7,Late
Campus Loop,2.36,Friday,15.1,Medium,Clear,None,27.8,2.3,On-Time
Al Hamra Link,9.68,Monday,8.6,High,Cloudy,None,31.1,15.7,Late
Grove Village Route,4.39,Tuesday,19.2,Medium,Clear,Open Day,40.2,15.7,Late
Campus Loop,0.91,Wednesday,13.7,Medium,Clear,None,39.9,6.4,Late
Al Hamra Link,4.35,Friday,10.3,Medium,Clear,None,24.7,6.0,Late
Campus Loop,1.6,Tuesday,14.8,Medium,Dusty,None,38.4,11.2,Late
RAK City Express,7.08,Saturday,18.8,High,Dusty,None,36.5,17.2,Late
Grove Village Route,3.87,Thursday,8.4,High,Clear,Sports Match,39.4,22.5,Late
RAK City Express,7.76,Thursday,10.3,Medium,Clear,None,26.0,10.9,Late
Campus Loop,2.4,Wednesday,9.2,High,Clear,None,24.6,11.3,Late
RAK City Express,5.97,Friday,7.7,Low,Clear,None,41.9,1.9,On-Time
Al Hamra Link,4.09,Wednesday,19.4,Medium,Clear,None,28.5,7.5,Late
Grove Village Route,4.84,Monday,21.0,Low,Clear,None,33.1,3.5,On-Time
RAK City Express,9.42,Friday,19.3,Medium,Clear,None,27.4,8.6,Late
Campus Loop,1.33,Thursday,15.2,Medium,Clear,None,25.4,6.9,Late
RAK City Express,13.64,Wednesday,8.2,High,Clear,None,41.3,15.7,Late
Campus Loop,0.84,Tuesday,11.4,Medium,Clear,None,38.0,2.0,On-Time
Al Hamra Link,5.52,Wednesday,15.2,Medium,Cloudy,Sports Match,31.6,13.6,Late
Al Hamra Link,6.51,Tuesday,11.9,Medium,Clear,Sports Match,25.8,13.0,Late
Grove Village Route,4.68,Wednesday,19.8,Low,Dusty,None,32.4,6.5,Late
Al Hamra Link,8.35,Tuesday,10.5,Low,Clear,None,33.6,5.1,Late
Al Hamra Link,9.99,Friday,12.7,Medium,Clear,None,29.2,8.2,Late
RAK City Express,7.72,Sunday,14.3,Medium,Cloudy,None,41.3,5.4,Late
Campus Loop,3.52,Thursday,16.5,Medium,Clear,None,40.1,5.9,Late
Grove Village Route,3.73,Thursday,18.2,High,Clear,None,33.8,15.1,Late
Grove Village Route,6.52,Sunday,19.3,Low,Cloudy,Career Fair,28.4,10.4,Late
Grove Village Route,3.47,Saturday,21.9,Low,Cloudy,None,24.7,4.1,On-Time
RAK City Express,11.51,Tuesday,7.0,Low,Clear,None,38.9,3.5,On-Time
RAK City Express,10.83,Wednesday,9.9,Medium,Clear,None,26.7,8.3,Late
Campus Loop,0.96,Friday,19.3,Low,Clear,None,30.8,1.5,On-Time
Grove Village Route,4.8,Thursday,16.8,Medium,Cloudy,None,28.4,4.1,On-Time
Grove Village Route,6.48,Wednesday,8.4,High,Clear,None,28.0,14.3,Late
Al Hamra Link,9.86,Tuesday,10.2,Medium,Dusty,University Exam,28.2,20.9,Late
Al Hamra Link,6.97,Tuesday,16.7,Medium,Clear,None,30.1,6.6,Late
Grove Village Route,5.87,Saturday,15.8,Medium,Clear,Career Fair,33.6,16.9,Late
Al Hamra Link,8.86,Sunday,14.3,Medium,Cloudy,None,41.4,5.9,Late
RAK City Express,7.45,Saturday,13.6,Low,Dusty,None,26.2,7.4,Late
Al Hamra Link,7.11,Wednesday,16.0,Low,Clear,None,38.8,3.6,On-Time
Campus Loop,2.61,Tuesday,7.3,Low,Clear,None,37.0,4.2,On-Time
Grove Village Route,6.87,Friday,15.2,Medium,Rainy,None,27.6,16.0,Late
Al Hamra Link,8.23,Saturday,18.0,Medium,Cloudy,None,33.2,9.6,Late
Grove Village Route,2.22,Friday,14.8,Low,Dusty,None,30.7,6.7,Late
RAK City Express,7.57,Wednesday,14.8,Medium,Cloudy,None,31.6,6.1,Late
Al Hamra Link,6.2,Tuesday,20.5,Low,Clear,None,34.7,4.7,On-Time
Campus Loop,3.8,Tuesday,12.6,Medium,Cloudy,None,27.2,6.1,Late
RAK City Express,5.29,Thursday,21.5,Low,Clear,None,24.6,4.1,On-Time
Grove Village Route,2.67,Saturday,12.2,High,Clear,Sports Match,41.0,20.7,Late
Al Hamra Link,7.04,Monday,14.4,Medium,Clear,None,31.4,6.5,Late
Campus Loop,2.47,Friday,7.5,Low,Cloudy,None,31.5,3.1,On-Time
Campus Loop,1.74,Sunday,15.3,Medium,Clear,None,29.2,7.5,Late
RAK City Express,9.86,Wednesday,16.4,Medium,Clear,None,33.0,6.5,Late
Campus Loop,1.39,Sunday,12.8,High,Clear,None,33.1,12.9,Late
Grove Village Route,4.52,Tuesday,11.2,Medium,Clear,None,35.3,4.3,On-Time
RAK City Express,8.14,Tuesday,7.9,Medium,Clear,None,39.4,6.6,Late
Grove Village Route,5.92,Wednesday,18.8,High,Clear,None,35.8,13.0,Late
Grove Village Route,5.14,Thursday,8.9,High,Clear,None,40.7,10.7,Late
Al Hamra Link,7.64,Sunday,11.0,Medium,Clear,None,38.3,8.3,Late
Grove Village Route,3.37,Tuesday,9.5,High,Clear,None,27.5,16.0,Late
Grove Village Route,5.56,Friday,8.0,High,Clear,None,24.2,17.0,Late
Grove Village Route,6.74,Sunday,17.0,High,Clear,None,35.5,11.4,Late
Campus Loop,3.1,Thursday,8.2,High,Cloudy,None,26.2,16.7,Late
Al Hamra Link,8.35,Monday,10.8,Medium,Cloudy,None,33.9,6.6,Late
Grove Village Route,3.82,Friday,21.1,Medium,Clear,None,35.5,6.5,Late
Al Hamra Link,7.73,Monday,19.4,Low,Clear,None,38.1,2.9,On-Time
RAK City Express,6.6,Thursday,18.2,High,Cloudy,None,34.5,18.8,Late
RAK City Express,14.37,Tuesday,14.2,Medium,Clear,None,28.7,11.7,Late
Campus Loop,3.58,Wednesday,19.0,Low,Cloudy,None,38.3,0.9,On-Time
Campus Loop,2.31,Monday,14.7,Medium,Clear,None,33.3,5.3,Late
Campus Loop,2.07,Sunday,10.4,Medium,Clear,University Exam,30.6,16.0,Late
Al Hamra Link,7.95,Tuesday,21.9,Low,Clear,Career Fair,36.4,9.3,Late
Al Hamra Link,5.16,Monday,8.8,High,Clear,None,34.1,14.7,Late
RAK City Express,8.97,Tuesday,8.8,Medium,Clear,None,26.8,6.4,Late
RAK City Express,10.69,Friday,16.6,Medium,Clear,None,33.3,4.9,On-Time
Al Hamra Link,5.65,Sunday,9.3,Medium,Cloudy,None,35.8,11.4,Late
Campus Loop,2.24,Friday,16.6,Medium,Foggy,University Exam,36.2,23.2,Late
Campus Loop,3.82,Sunday,11.0,Medium,Clear,None,34.3,6.8,Late
Grove Village Route,4.35,Wednesday,11.4,Medium,Clear,None,41.4,7.7,Late
Campus Loop,3.65,Thursday,7.5,Medium,Clear,None,28.8,6.5,Late
RAK City Express,11.58,Thursday,12.0,Medium,Clear,University Exam,25.2,12.6,Late
RAK City Express,5.02,Thursday,13.3,Medium,Clear,None,35.7,3.6,On-Time
Campus Loop,3.1,Saturday,14.0,Medium,Cloudy,Sports Match,38.9,15.6,Late
Al Hamra Link,9.14,Wednesday,9.4,Medium,Rainy,None,37.8,19.5,Late
Campus Loop,3.08,Wednesday,11.2,Medium,Cloudy,University Exam,29.6,15.1,Late
RAK City Express,10.4,Tuesday,13.2,High,Clear,None,26.1,14.3,Late
RAK City Express,14.71,Thursday,17.4,High,Clear,None,41.5,21.4,Late
RAK City Express,6.1,Friday,9.2,Medium,Clear,None,40.8,10.5,Late
Al Hamra Link,9.1,Tuesday,15.7,Medium,Clear,None,26.1,8.8,Late
Campus Loop,3.69,Sunday,15.5,Medium,Clear,None,38.8,7.6,Late
Grove Village Route,4.51,Tuesday,21.3,Low,Cloudy,None,28.7,3.2,On-Time
Grove Village Route,4.71,Saturday,17.3,High,Dusty,None,36.9,20.3,Late
Campus Loop,1.02,Monday,13.6,High,Clear,None,41.0,8.6,Late
RAK City Express,7.0,Thursday,20.5,Medium,Rainy,None,29.5,18.9,Late
RAK City Express,6.11,Monday,13.3,Medium,Clear,None,33.4,4.3,On-Time
Campus Loop,3.24,Tuesday,9.2,High,Cloudy,None,26.5,15.3,Late
RAK City Express,12.81,Saturday,11.7,Medium,Clear,Career Fair,25.4,9.3,Late
Grove Village Route,6.63,Thursday,7.9,Low,Clear,University Exam,29.8,14.2,Late
Grove Village Route,2.12,Saturday,19.3,Medium,Clear,None,24.2,7.2,Late
Al Hamra Link,5.54,Saturday,13.5,Medium,Rainy,None,41.5,13.4,Late
RAK City Express,12.44,Friday,15.7,Medium,Clear,None,27.2,7.3,Late
RAK City Express,12.52,Monday,12.8,High,Cloudy,None,24.4,18.8,Late
Al Hamra Link,6.11,Thursday,21.3,Medium,Foggy,None,29.4,14.8,Late
Campus Loop,0.67,Tuesday,14.0,Medium,Clear,None,34.6,7.1,Late
Grove Village Route,6.06,Friday,13.7,High,Dusty,None,27.7,16.7,Late
RAK City Express,9.3,Monday,20.6,Low,Clear,None,31.7,4.9,On-Time
Campus Loop,3.17,Monday,7.7,Medium,Rainy,University Exam,31.3,15.6,Late
RAK City Express,12.69,Saturday,15.9,Low,Cloudy,University Exam,36.5,12.9,Late
Grove Village Route,6.11,Thursday,11.7,Low,Clear,Career Fair,39.7,10.5,Late
Al Hamra Link,5.85,Friday,13.9,High,Clear,Sports Match,30.4,23.4,Late
RAK City Express,6.48,Wednesday,11.8,Medium,Clear,None,33.1,6.0,Late
Al Hamra Link,6.07,Saturday,18.5,High,Cloudy,None,24.3,19.9,Late
Campus Loop,3.56,Friday,19.4,Low,Clear,None,29.3,4.1,On-Time
Grove Village Route,5.63,Thursday,13.1,Medium,Cloudy,None,34.3,4.8,On-Time
Campus Loop,3.71,Friday,20.9,Low,Clear,None,32.7,4.6,On-Time
RAK City Express,13.13,Tuesday,14.7,Low,Clear,None,24.3,6.3,Late
Al Hamra Link,9.55,Monday,9.5,High,Clear,None,31.1,19.6,Late
Al Hamra Link,8.19,Tuesday,16.9,Low,Clear,None,40.9,4.6,On-Time
Campus Loop,2.14,Wednesday,8.9,High,Clear,None,41.3,18.0,Late
RAK City Express,10.53,Thursday,19.3,Low,Clear,None,27.1,3.6,On-Time
RAK City Express,14.12,Saturday,20.0,Medium,Clear,None,35.9,8.2,Late
Campus Loop,3.11,Sunday,12.9,High,Clear,None,38.3,8.1,Late
RAK City Express,8.14,Friday,11.6,Medium,Cloudy,None,28.8,7.6,Late
RAK City Express,7.19,Monday,20.8,Low,Rainy,None,33.6,11.0,Late
Campus Loop,1.17,Wednesday,20.9,Low,Clear,University Exam,34.9,7.8,Late
Grove Village Route,2.56,Monday,11.3,Medium,Cloudy,None,31.5,6.2,Late
Campus Loop,0.74,Thursday,7.1,Medium,Dusty,None,37.2,5.5,Late
Campus Loop,1.74,Wednesday,9.3,High,Clear,None,34.2,17.8,Late
Campus Loop,2.36,Thursday,16.7,Medium,Dusty,None,37.0,6.8,Late
Campus Loop,2.45,Tuesday,11.3,Medium,Rainy,None,33.7,13.3,Late
Grove Village Route,2.16,Saturday,13.9,Medium,Clear,None,26.5,4.6,On-Time
RAK City Express,10.46,Monday,21.2,Low,Clear,None,39.9,3.9,On-Time
RAK City Express,7.52,Monday,17.8,Medium,Cloudy,None,24.1,9.1,Late
Al Hamra Link,7.79,Sunday,19.9,Medium,Clear,None,39.2,5.7,Late
Campus Loop,2.26,Tuesday,16.1,Low,Clear,None,33.1,0.7,On-Time
Grove Village Route,6.5,Wednesday,15.0,Medium,Rainy,None,33.3,15.7,Late
